formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     random36  random37  topoY     
ZrSiRu    1.9       1.33      2.2       14        40        44        8.15168   6.63413   7.3605    1.38952   0.43329   1.04638   1.1       1.55      1.3       4         4         8         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         2         0         1         0         7         0         0.717523  0.994054  0         
LiPrGe    2.01      1.13      0.98      32        59        3         7.89944   5.4702    5.39171   1.23268   0.10923   0.61805   1.25      1.85      1.45      4         3         1         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         2         0         0         3         1         0         0         0         0.648506  0.366151  1         
PrMgGa    1.81      1.13      1.31      31        59        12        5.9993    5.4702    7.64624   0.3012    0.10923   -0.42     1.3       1.85      1.5       3         3         2         1.695     1.695     1.695     1.70      1.70      1.70      2         1         10        0         2         0         0         3         2         0         0         0         0.341016  0.178758  1         
HoAgGe    1.93      1.23      2.01      47        67        32        7.57623   6.0215    7.89944   1.30447   0.338     1.23268   1.6       1.75      1.25      11        3         4         2.375     2.375     2.375     1.07      1.07      1.07      1         0         10        0         2         0         0         11        2         2         10        0         0.675966  0.194744  1         
NdInPd    2.2       1.78      1.14      46        49        60        8.33684   5.78636   5.525     0.56214   0.38393   0.09749   1.4       1.55      1.85      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         1         10        0         2         0         0         4         0.114394  0.30398   0         
MnNbGe    2.01      1.6       1.55      32        41        25        7.89944   6.75885   7.43404   1.23268   0.91741   -0.52     1.25      1.45      1.4       4         5         7         1.56      1.56      1.56      1.99      1.99      1.99      2         2         10        0         1         0         4         0         2         0         5         0         0.185671  0.307565  0         
MnNbSi    1.9       1.6       1.55      14        41        25        8.15168   6.75885   7.43404   1.38952   0.91741   -0.52     1.1       1.45      1.4       4         5         7         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         1         0         4         0         2         0         5         0         0.324038  0.451317  0         
ScMnSi    1.9       1.36      1.55      14        21        25        8.15168   6.56149   7.43404   1.38952   0.1882    -0.52     1.1       1.6       1.4       4         3         7         1.42      1.42      1.42      1.98      1.98      1.98      2         2         0         0         2         0         1         0         2         0         5         0         0.945057  0.71085   0         
SmInPd    2.2       1.17      1.78      46        62        49        8.33684   5.64371   5.78636   0.56214   0.162     0.38393   1.4       1.85      1.55      10        3         3         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         2         0         0         6         2         1         10        0         0.830242  0.275526  0         
ErSnRh    2.28      1.24      1.96      45        68        50        7.4589    6.1077    7.34392   1.14289   0.312     1.11207   1.35      1.75      1.45      9         3         4         2.52      2.52      2.52      1.99      1.99      1.99      1         0         8         0         2         0         0         12        2         2         10        0         0.897748  0.976261  0         
